unlearner,dataset,parameters,RunTime,PeakRSS_MB,CudaPeak_MB,AIN,AUS,UMIA,sklearn.metrics.accuracy_score.test.unlearned.on_graph:True,sklearn.metrics.accuracy_score.forget.unlearned.on_graph:True,sklearn.metrics.accuracy_score.train.unlearned.on_graph:True,sklearn.metrics.accuracy_score.test.unlearned.on_graph:False,sklearn.metrics.accuracy_score.test.original.on_graph:False,f1_macro.test.unlearned.on_graph:True,f1_macro.test.original.on_graph:True,f1_macro.forget.unlearned.on_graph:True,f1_macro.forget.original.on_graph:True,LinkTeller unlearn with sampler bfs+:,LinkTeller original with sampler bfs+:,Link Stealing Attack unlearned 0 exist/non_exist,Link Stealing Attack 0 unlearned forget/non_exist,RelearnTime
Cascade,Cora,"{'sub_unlearner': [{'class': 'erasure.unlearners.graph_unlearners.UNSIR.UNSIR', 'parameters': {'epochs': 1, 'ref_data_retain': 'retain', 'ref_data_forget': 'forget', 'noise_lr': 0.1, 'optimizer': {'class': 'torch.optim.Adam', 'parameters': {'lr': 0.001}}, 'last_trainable_layers': -1, 'mask_path': None, 'forget_part': 'forget', 'retain_part': 'retain', 'train_part': 'train', 'sample_type': 'default'}}, {'class': 'erasure.unlearners.graph_unlearners.Finetuning.Finetuning', 'parameters': {'epochs': 1, 'ref_data': 'retain', 'optimizer': {'class': 'torch.optim.Adam', 'parameters': {'lr': 0.001}}, 'last_trainable_layers': -1, 'mask_path': None, 'forget_part': 'forget', 'retain_part': 'retain', 'train_part': 'train'}}]}",0.321247339248657,2568.03125,856.5732421875,1.0,0.9916716582781661,0.49723502304147404,0.525830258302583,0.49967969250480404,0.535384615384615,0.525830258302583,0.525830258302583,0.37994394663228603,0.37994394663228603,0.397056669225746,0.397056669225746,"{'auc': 0.694910913216031, 'ap': 0.8509349534000621}","{'auc': 0.6960251496490241, 'ap': 0.851199608529388}",0.9787254648760331,0.977637878070137,
Cascade,Cora,"{'sub_unlearner': [{'class': 'erasure.unlearners.graph_unlearners.UNSIR.UNSIR', 'parameters': {'epochs': 1, 'ref_data_retain': 'retain', 'ref_data_forget': 'forget', 'noise_lr': 0.1, 'optimizer': {'class': 'torch.optim.Adam', 'parameters': {'lr': 0.1}}, 'last_trainable_layers': -1, 'mask_path': None, 'forget_part': 'forget', 'retain_part': 'retain', 'train_part': 'train', 'sample_type': 'default'}}, {'class': 'erasure.unlearners.graph_unlearners.Finetuning.Finetuning', 'parameters': {'epochs': 1, 'ref_data': 'retain', 'optimizer': {'class': 'torch.optim.Adam', 'parameters': {'lr': 0.1}}, 'last_trainable_layers': -1, 'mask_path': None, 'forget_part': 'forget', 'retain_part': 'retain', 'train_part': 'train'}}]}",0.30390977859497004,2571.9453125,855.46240234375,1.0,0.9663398999990901,0.496082949308755,0.5239852398523981,0.572709801409353,0.5394871794871791,0.522140221402214,0.522140221402214,0.5421753636972031,0.5421753636972031,0.576406522420411,0.576406522420411,"{'auc': 0.6807721685679251, 'ap': 0.8072619238983281}","{'auc': 0.6807900743202041, 'ap': 0.807337100895516}",0.867669952364554,0.859028017024819,
Cascade,Cora,"{'sub_unlearner': [{'class': 'erasure.unlearners.graph_unlearners.UNSIR.UNSIR', 'parameters': {'epochs': 1, 'ref_data_retain': 'retain', 'ref_data_forget': 'forget', 'noise_lr': 0.1, 'optimizer': {'class': 'torch.optim.Adam', 'parameters': {'lr': 1}}, 'last_trainable_layers': -1, 'mask_path': None, 'forget_part': 'forget', 'retain_part': 'retain', 'train_part': 'train', 'sample_type': 'default'}}, {'class': 'erasure.unlearners.graph_unlearners.Finetuning.Finetuning', 'parameters': {'epochs': 1, 'ref_data': 'retain', 'optimizer': {'class': 'torch.optim.Adam', 'parameters': {'lr': 1}}, 'last_trainable_layers': -1, 'mask_path': None, 'forget_part': 'forget', 'retain_part': 'retain', 'train_part': 'train'}}]}",0.292343854904174,2596.515625,856.01513671875,1.0,0.9634623407561471,0.500921658986175,0.335793357933579,0.386290839205637,0.386153846153846,0.34132841328413205,0.34132841328413205,0.27928429956103,0.27928429956103,0.317580920352863,0.317580920352863,"{'auc': 0.5629554917395551, 'ap': 0.706123283468682}","{'auc': 0.56255272564081, 'ap': 0.7061175731378211}",0.6585160913108351,0.6467551820909231,
BadTeaching,Cora,"{'epochs': 1, 'ref_data_retain': 'retain', 'ref_data_forget': 'forget', 'optimizer': {'class': 'torch.optim.Adam', 'parameters': {'lr': 0.001}}, 'KL_temperature': 1.0, 'last_trainable_layers': -1, 'mask_path': None, 'forget_part': 'forget', 'retain_part': 'retain', 'train_part': 'train', 'transform': None, 'bad_teacher': {'class': 'erasure.model.TorchGraphModel.TorchGraphModel', 'parameters': {'epochs': 0, 'optimizer': {'class': 'torch.optim.Adam', 'parameters': {'lr': 0.001, 'betas': [0.9, 0.999], 'eps': 1e-08, 'weight_decay': 0, 'amsgrad': False, 'maximize': False, 'capturable': False, 'differentiable': False, 'decoupled_weight_decay': False}}, 'loss_fn': {'class': 'torch.nn.CrossEntropyLoss', 'parameters': {'ignore_index': -100, 'reduction': 'mean', 'label_smoothing': 0.0}}, 'model': {'class': 'erasure.model.graphs.GAT.GAT', 'parameters': {'in_channels': 1433, 'hidden_channels': [100], 'out_channels': 7, 'n_classes': 7}}, 'cached': False, 'fold_id': -1, 'training_set': 'retain', 'batch_size': 4, 'early_stopping_threshold': None, 'alias': 'erasure.model.graphs.GAT.GAT'}}}",21.693000078201294,2600.7265625,823.5283203125,1.0,0.968340901598375,0.49930875576036804,0.616236162361623,0.593209481101857,0.6379487179487181,0.6309963099630991,0.6309963099630991,0.524490921596665,0.524490921596665,0.524767840054437,0.524767840054437,"{'auc': 0.6947574677186481, 'ap': 0.850308251685801}","{'auc': 0.695639156027098, 'ap': 0.8504792533395561}",0.9768001391758491,0.9761463222944741,
BadTeaching,Cora,"{'epochs': 1, 'ref_data_retain': 'retain', 'ref_data_forget': 'forget', 'optimizer': {'class': 'torch.optim.Adam', 'parameters': {'lr': 0.1}}, 'KL_temperature': 1.0, 'last_trainable_layers': -1, 'mask_path': None, 'forget_part': 'forget', 'retain_part': 'retain', 'train_part': 'train', 'transform': None, 'bad_teacher': {'class': 'erasure.model.TorchGraphModel.TorchGraphModel', 'parameters': {'epochs': 0, 'optimizer': {'class': 'torch.optim.Adam', 'parameters': {'lr': 0.001, 'betas': [0.9, 0.999], 'eps': 1e-08, 'weight_decay': 0, 'amsgrad': False, 'maximize': False, 'capturable': False, 'differentiable': False, 'decoupled_weight_decay': False}}, 'loss_fn': {'class': 'torch.nn.CrossEntropyLoss', 'parameters': {'ignore_index': -100, 'reduction': 'mean', 'label_smoothing': 0.0}}, 'model': {'class': 'erasure.model.graphs.GAT.GAT', 'parameters': {'in_channels': 1433, 'hidden_channels': [100], 'out_channels': 7, 'n_classes': 7}}, 'cached': False, 'fold_id': -1, 'training_set': 'retain', 'batch_size': 4, 'early_stopping_threshold': None, 'alias': 'erasure.model.graphs.GAT.GAT'}}}",22.531995058059692,2647.34375,826.2763671875,1.0,0.9990814730288501,0.491935483870967,0.14760147601476,0.16015374759769302,0.151794871794871,0.15129151291512902,0.15129151291512902,0.036806993328732,0.036806993328732,0.039616512162269,0.039616512162269,"{'auc': 0.624219003216235, 'ap': 0.798247333473109}","{'auc': 0.6251591685384591, 'ap': 0.798509344242279}",0.8234062930440771,0.8517572994272421,
BadTeaching,Cora,"{'epochs': 1, 'ref_data_retain': 'retain', 'ref_data_forget': 'forget', 'optimizer': {'class': 'torch.optim.Adam', 'parameters': {'lr': 1}}, 'KL_temperature': 1.0, 'last_trainable_layers': -1, 'mask_path': None, 'forget_part': 'forget', 'retain_part': 'retain', 'train_part': 'train', 'transform': None, 'bad_teacher': {'class': 'erasure.model.TorchGraphModel.TorchGraphModel', 'parameters': {'epochs': 0, 'optimizer': {'class': 'torch.optim.Adam', 'parameters': {'lr': 0.001, 'betas': [0.9, 0.999], 'eps': 1e-08, 'weight_decay': 0, 'amsgrad': False, 'maximize': False, 'capturable': False, 'differentiable': False, 'decoupled_weight_decay': False}}, 'loss_fn': {'class': 'torch.nn.CrossEntropyLoss', 'parameters': {'ignore_index': -100, 'reduction': 'mean', 'label_smoothing': 0.0}}, 'model': {'class': 'erasure.model.graphs.GAT.GAT', 'parameters': {'in_channels': 1433, 'hidden_channels': [100], 'out_channels': 7, 'n_classes': 7}}, 'cached': False, 'fold_id': -1, 'training_set': 'retain', 'batch_size': 4, 'early_stopping_threshold': None, 'alias': 'erasure.model.graphs.GAT.GAT'}}}",21.460350275039673,2653.51953125,827.35546875,1.0,0.9733077609059481,0.521428571428571,0.352398523985239,0.304932735426008,0.33333333333333304,0.35055350553505504,0.35055350553505504,0.13326533712376,0.13326533712376,0.122508573203136,0.122508573203136,"{'auc': 0.587782383912928, 'ap': 0.722027468014234}","{'auc': 0.5874498808927491, 'ap': 0.7215554076314551}",0.5286534557219921,0.53659089114738,
Scrub,Cora,"{'epochs': 1, 'ref_data_retain': 'retain', 'ref_data_forget': 'forget', 'T': 2.0, 'optimizer': {'class': 'torch.optim.Adam', 'parameters': {'lr': 0.001}}, 'last_trainable_layers': -1, 'mask_path': None, 'forget_part': 'forget', 'retain_part': 'retain', 'train_part': 'train'}",21.496416330337524,2696.76171875,826.78173828125,1.0,0.9717985817722201,0.5211981566820271,0.38191881918819104,0.341447789878283,0.37794871794871704,0.37638376383763805,0.37638376383763805,0.184570604241989,0.184570604241989,0.187013802481339,0.187013802481339,"{'auc': 0.695213044453863, 'ap': 0.8510093112693261}","{'auc': 0.694846316514769, 'ap': 0.8510136947748751}",0.976116814451331,0.9754842061065411,
Scrub,Cora,"{'epochs': 1, 'ref_data_retain': 'retain', 'ref_data_forget': 'forget', 'T': 2.0, 'optimizer': {'class': 'torch.optim.Adam', 'parameters': {'lr': 0.1}}, 'last_trainable_layers': -1, 'mask_path': None, 'forget_part': 'forget', 'retain_part': 'retain', 'train_part': 'train'}",22.202678203582764,2707.828125,828.998046875,1.0,0.9697478684753431,0.522811059907834,0.31180811808118003,0.26265214606021703,0.31076923076923,0.31180811808118003,0.31180811808118003,0.07094774055281801,0.07094774055281801,0.065254804679788,0.065254804679788,"{'auc': 0.641438217221707, 'ap': 0.768119586104791}","{'auc': 0.639984904770863, 'ap': 0.7676234058883971}",0.518968089990817,0.5172201796506031,
Scrub,Cora,"{'epochs': 1, 'ref_data_retain': 'retain', 'ref_data_forget': 'forget', 'T': 2.0, 'optimizer': {'class': 'torch.optim.Adam', 'parameters': {'lr': 1}}, 'last_trainable_layers': -1, 'mask_path': None, 'forget_part': 'forget', 'retain_part': 'retain', 'train_part': 'train'}",21.478400945663452,2707.828125,829.54541015625,1.0,0.9686852675620101,0.5002304147465431,0.309963099630996,0.258808456117873,0.297948717948717,0.309963099630996,0.309963099630996,0.067605633802816,0.067605633802816,0.058742275536168,0.058742275536168,"{'auc': 0.519698820713555, 'ap': 0.6744427801641301}","{'auc': 0.519243697288525, 'ap': 0.674312208628674}",0.5,0.5,
FisherForgetting,Cora,"{'ref_data': 'retain', 'alpha': 1e-06, 'last_trainable_layers': -1, 'mask_path': None, 'forget_part': 'forget', 'retain_part': 'retain', 'train_part': 'train'}",58.02558898925781,2725.90234375,828.43994140625,1.0,0.99812086590499,0.48801843317972304,0.33394833948339403,0.310698270339525,0.344102564102564,0.32841328413284104,0.32841328413284104,0.18778566492970702,0.18778566492970702,0.186505809106761,0.186505809106761,"{'auc': 0.697218488709176, 'ap': 0.8537408779241251}","{'auc': 0.6966303187450561, 'ap': 0.8536956747173841}",0.9550619834710741,0.960338074013464,
